"imie_nazwisko","pseudonim","data_urodzenia","miejsce_urodzenia","pod_wplywem","plec","miejsce_smierci"
"Boris Vian","Zéphirin Hanvélo","1920-03-10T00:00:00Z","Ville-d'Avray","Jean-Paul Sartre","mężczyzna","Paryż"
"Alfred Jarry","","1873-09-08T00:00:00Z","Laval","","mężczyzna","Paryż"
"Frank Herbert","","1920-10-08T00:00:00Z","Tacoma","","mężczyzna","Madison"
"Iwan IV Groźny","","1530-09-04T00:00:00Z","Kołomienskoje","","mężczyzna","Moskwa"
"Lluís Llach","","1948-05-07T00:00:00Z","Girona","","mężczyzna",""
"Akira Kurosawa","AK","1910-03-23T00:00:00Z","Shinagawa","","mężczyzna","Setagaya"
"Augustyn z Hippony","","0354-11-14T00:00:00Z","Tagasta","","mężczyzna","Hippo Regius"
"Martin Luther King","","1929-01-15T00:00:00Z","Atlanta","Mahatma Gandhi","mężczyzna","Memphis"
"Martin Luther King","","1929-01-15T00:00:00Z","Atlanta","Henry David Thoreau","mężczyzna","Memphis"
"Martin Luther King","","1929-01-15T00:00:00Z","Atlanta","Reinhold Niebuhr","mężczyzna","Memphis"
"Martin Luther King","","1929-01-15T00:00:00Z","Atlanta","Walter Rauschenbusch","mężczyzna","Memphis"
"Martin Luther King","","1929-01-15T00:00:00Z","Atlanta","Howard Thurman","mężczyzna","Memphis"
"Richard Holmes","","1945-11-05T00:00:00Z","Londyn","","mężczyzna",""
"Nicholas Meyer","","1945-12-24T00:00:00Z","Nowy Jork","","mężczyzna",""
"Weird Al Yankovic","","1959-10-23T00:00:00Z","Downey","","mężczyzna",""
"Kurt Cobain","Kurdt Kobain","1967-02-20T00:00:00Z","Aberdeen","Frances Farmer","mężczyzna","Seattle"
"Pierre Trudeau","","1919-10-18T00:00:00Z","Montreal","","mężczyzna","Montreal"
"Kwame Nkrumah","","1909-09-21T00:00:00Z","Nkroful","","mężczyzna","Bukareszt"
"Walt Disney","","1901-12-05T00:00:00Z","Chicago","","mężczyzna","Los Angeles"
"Walt Disney","","1901-12-05T00:00:00Z","Chicago","","mężczyzna","Burbank"
"Archimedes","","-286-01-01T00:00:00Z","Syrakuzy","","mężczyzna","Syrakuzy"
"Henry Ford","","1866-07-30T00:00:00Z","Hrabstwo Wayne","","mężczyzna","Dearborn"
"Emiliusz Macer","","","Werona","","mężczyzna","Azja"
"Domitius Marsus","","-050-01-01T00:00:00Z","","","mężczyzna",""
"Marc Décimo","","1958-05-11T00:00:00Z","","","mężczyzna",""
"Valgius Rufus","","-064-01-01T00:00:00Z","","","mężczyzna",""
"Lucjusz Wariusz Rufus","","-073-01-01T00:00:00Z","","","mężczyzna",""
"Korneliusz Gallus","","-068-01-01T00:00:00Z","Forlì","","mężczyzna",""
"Propercjusz","","-046-01-01T00:00:00Z","Asyż","","mężczyzna","Rzym"
"Satyajit Ray","","1921-05-02T00:00:00Z","Kolkata","Rabindranath Tagore","mężczyzna","Kolkata"
"Satyajit Ray","","1921-05-02T00:00:00Z","Kolkata","Jean Renoir","mężczyzna","Kolkata"
"Satyajit Ray","","1921-05-02T00:00:00Z","Kolkata","John Ford","mężczyzna","Kolkata"
"Satyajit Ray","","1921-05-02T00:00:00Z","Kolkata","Vittorio De Sica","mężczyzna","Kolkata"
"Cristina Marcano","","1960-01-01T00:00:00Z","","","kobieta",""
"Arnošt Muka","","1854-03-10T00:00:00Z","Großhänchen","","mężczyzna","Budziszyn"
"Johannes Kepler","","1572-01-06T00:00:00Z","Weil der Stadt","","mężczyzna","Ratyzbona"
"Mo Yan","Mo Jen (česky Nemluvit)","1955-02-17T00:00:00Z","Gaomi","Gabriel García Márquez","mężczyzna",""
"Mo Yan","Mo Jen (česky Nemluvit)","1955-02-17T00:00:00Z","Gaomi","William Faulkner","mężczyzna",""
"Ćanakja Kautilja","","-349-01-01T00:00:00Z","Indie","","mężczyzna","Patna"
"Gottfried Wilhelm Leibniz","","1646-07-01T00:00:00Z","Lipsk","Platon","mężczyzna","Hanower"
"Gottfried Wilhelm Leibniz","","1646-07-01T00:00:00Z","Lipsk","Arystoteles","mężczyzna","Hanower"
"Gottfried Wilhelm Leibniz","","1646-07-01T00:00:00Z","Lipsk","Blaise Pascal","mężczyzna","Hanower"
"Gottfried Wilhelm Leibniz","","1646-07-01T00:00:00Z","Lipsk","Konfucjusz","mężczyzna","Hanower"
"Gottfried Wilhelm Leibniz","","1646-07-01T00:00:00Z","Lipsk","Augustyn z Hippony","mężczyzna","Hanower"
"Gottfried Wilhelm Leibniz","","1646-07-01T00:00:00Z","Lipsk","Kartezjusz","mężczyzna","Hanower"
"Gottfried Wilhelm Leibniz","","1646-07-01T00:00:00Z","Lipsk","Tomasz z Akwinu","mężczyzna","Hanower"
"Gottfried Wilhelm Leibniz","","1646-07-01T00:00:00Z","Lipsk","Hypatia z Aleksandrii","mężczyzna","Hanower"
"Gottfried Wilhelm Leibniz","","1646-07-01T00:00:00Z","Lipsk","Jan Ámos Komenský","mężczyzna","Hanower"
"Gottfried Wilhelm Leibniz","","1646-07-01T00:00:00Z","Lipsk","Baruch Spinoza","mężczyzna","Hanower"
"Gottfried Wilhelm Leibniz","","1646-07-01T00:00:00Z","Lipsk","Giordano Bruno","mężczyzna","Hanower"
"Gottfried Wilhelm Leibniz","","1646-07-01T00:00:00Z","Lipsk","Thomas Hobbes","mężczyzna","Hanower"
"Gottfried Wilhelm Leibniz","","1646-07-01T00:00:00Z","Lipsk","Christiaan Huygens","mężczyzna","Hanower"
"Gottfried Wilhelm Leibniz","","1646-07-01T00:00:00Z","Lipsk","Anzelm z Canterbury","mężczyzna","Hanower"
"Gottfried Wilhelm Leibniz","","1646-07-01T00:00:00Z","Lipsk","Jakob Thomasius","mężczyzna","Hanower"
"Gottfried Wilhelm Leibniz","","1646-07-01T00:00:00Z","Lipsk","Erhard Weigel","mężczyzna","Hanower"
"Gottfried Wilhelm Leibniz","","1646-07-01T00:00:00Z","Lipsk","Jakob Bernoulli","mężczyzna","Hanower"
"Gottfried Wilhelm Leibniz","","1646-07-01T00:00:00Z","Lipsk","Mojżesz Majmonides","mężczyzna","Hanower"
"Gottfried Wilhelm Leibniz","","1646-07-01T00:00:00Z","Lipsk","Plotyn","mężczyzna","Hanower"
"Gottfried Wilhelm Leibniz","","1646-07-01T00:00:00Z","Lipsk","Nicolaus Steno","mężczyzna","Hanower"
"Gottfried Wilhelm Leibniz","","1646-07-01T00:00:00Z","Lipsk","Mikołaj z Kuzy","mężczyzna","Hanower"
"Gottfried Wilhelm Leibniz","","1646-07-01T00:00:00Z","Lipsk","Giovanni Pico della Mirandola","mężczyzna","Hanower"
"Gottfried Wilhelm Leibniz","","1646-07-01T00:00:00Z","Lipsk","Jan Duns Szkot","mężczyzna","Hanower"
"Gottfried Wilhelm Leibniz","","1646-07-01T00:00:00Z","Lipsk","Pierre Gassendi","mężczyzna","Hanower"
"Gottfried Wilhelm Leibniz","","1646-07-01T00:00:00Z","Lipsk","Rajmund Llull","mężczyzna","Hanower"
"Gottfried Wilhelm Leibniz","","1646-07-01T00:00:00Z","Lipsk","Ibn Tufajl","mężczyzna","Hanower"
"Gottfried Wilhelm Leibniz","","1646-07-01T00:00:00Z","Lipsk","Jacques-Bénigne Bossuet","mężczyzna","Hanower"
"Gottfried Wilhelm Leibniz","","1646-07-01T00:00:00Z","Lipsk","Nicolas Malebranche","mężczyzna","Hanower"
"Gottfried Wilhelm Leibniz","","1646-07-01T00:00:00Z","Lipsk","Franciszek Suárez","mężczyzna","Hanower"
"Noam Chomsky","","1928-12-07T00:00:00Z","East Oak Lane","","mężczyzna",""
"Joseph Viktor von Scheffel","","1826-02-16T00:00:00Z","Karlsruhe","","mężczyzna","Karlsruhe"
"Paweł z Tarsu","","0005-01-01T00:00:00Z","Tars","Jezus Chrystus","mężczyzna","Rzym"
"Clive Staples Lewis","","1898-11-29T00:00:00Z","Belfast","Platon","mężczyzna","Oksford"
"Clive Staples Lewis","","1898-11-29T00:00:00Z","Belfast","Arystoteles","mężczyzna","Oksford"
"Clive Staples Lewis","","1898-11-29T00:00:00Z","Belfast","John Ronald Reuel Tolkien","mężczyzna","Oksford"
"Clive Staples Lewis","","1898-11-29T00:00:00Z","Belfast","Dante Alighieri","mężczyzna","Oksford"
"Clive Staples Lewis","","1898-11-29T00:00:00Z","Belfast","Geoffrey Chaucer","mężczyzna","Oksford"
