"numer_adres";"stan_zdrowia";"y_wgs84";"dzielnica";"adres";"lokalizacja";"wiek_w_dni";"srednica_k";"pnie_obwod";"miasto";"jednostka";"x_pl2000";"wysokosc";"y_pl2000";"numer_inw";"﻿x_wgs84";"_id";"gatunek_1";"gatunek";"data_wyk_pom"
"";"dobry";"52.259834";"Praga Północ";"ul. GRAJEWSKA";"Ulica GRAJEWSKA";"40";"8";"153";"Warszawa";"Dzielnica Praga Północ";"7504149";"18";"5791811.00181818";"D209658";"21.060769";5385;"Acer saccharinum";"klon srebrzysty";"20110801"
"";"dobry";"52.259771";"Praga Północ";"ul. GRAJEWSKA";"Ulica GRAJEWSKA";"40";"8";"105";"Warszawa";"Dzielnica Praga Północ";"7504153";"18";"5791804.00181818";"D209659";"21.060828";5386;"Acer saccharinum";"klon srebrzysty";"20110801"
"";"średni";"52.260814";"Praga Północ";"ul. GRAJEWSKA";"Ulica GRAJEWSKA";"50";"8";"297";"Warszawa";"Dzielnica Praga Północ";"7504088";"17";"5791920.00181818";"D209660";"21.059877";5387;"Acer saccharinum";"klon srebrzysty";"20110801"
"";"zły";"52.260868";"Praga Północ";"ul. GRAJEWSKA";"Ulica GRAJEWSKA";"40";"8";"198";"Warszawa";"Dzielnica Praga Północ";"7504085";"17";"5791926.00181818";"D209661";"21.059833";5388;"Acer saccharinum";"klon srebrzysty";"20110801"
"";"średni";"52.26094";"Praga Północ";"ul. GRAJEWSKA";"Ulica GRAJEWSKA";"45";"8";"236";"Warszawa";"Dzielnica Praga Północ";"7504081";"18";"5791934.00181818";"D209662";"21.059775";5389;"Acer saccharinum";"klon srebrzysty";"20110801"
"";"średni";"52.261003";"Praga Północ";"ul. GRAJEWSKA";"Ulica GRAJEWSKA";"30";"8";"110";"Warszawa";"Dzielnica Praga Północ";"7504078";"6";"5791941.00181818";"D209663";"21.059731";5390;"Acer pseudoplatanus";"klon jawor";"20110801"
"";"zły";"52.261075";"Praga Północ";"ul. GRAJEWSKA";"Ulica GRAJEWSKA";"45";"8";"241";"Warszawa";"Dzielnica Praga Północ";"7504074";"18";"5791949.00181818";"D209664";"21.059673";5391;"Acer pseudoplatanus";"klon jawor";"20110801"
"";"dobry";"52.261205";"Praga Północ";"ul. GRAJEWSKA";"Ulica GRAJEWSKA";"40";"6";"167";"Warszawa";"Dzielnica Praga Północ";"7504067.34839161";"18";"5791963.39384615";"D209665";"21.059575";5392;"Acer pseudoplatanus";"klon jawor";"20110801"
"";"dobry";"52.261267";"Praga Północ";"ul. GRAJEWSKA";"Ulica GRAJEWSKA";"40";"6";"189";"Warszawa";"Dzielnica Praga Północ";"7504064.34839161";"18";"5791970.39384615";"D209666";"21.059532";5393;"Acer pseudoplatanus";"klon jawor";"20110801"
"";"średni";"52.26139";"Praga Północ";"ul. GRAJEWSKA";"Ulica GRAJEWSKA";"45";"6";"232";"Warszawa";"Dzielnica Praga Północ";"7504057";"18";"5791984.00181818";"D209667";"21.059424";5394;"Acer pseudoplatanus";"klon jawor";"20110801"
"";"dobry";"52.261462";"Praga Północ";"ul. GRAJEWSKA";"Ulica GRAJEWSKA";"40";"6";"218";"Warszawa";"Dzielnica Praga Północ";"7504054";"18";"5791992.00181818";"D209668";"21.05938";5395;"Acer pseudoplatanus";"klon jawor";"20110801"
"";"dobry";"52.261498";"Praga Północ";"ul. GRAJEWSKA";"Ulica GRAJEWSKA";"40";"6";"157";"Warszawa";"Dzielnica Praga Północ";"7504051";"18";"5791996.00181818";"D209669";"21.059336";5396;"Acer pseudoplatanus";"klon jawor";"20110801"
"";"dobry";"52.261534";"Praga Północ";"ul. GRAJEWSKA";"Ulica GRAJEWSKA";"40";"7";"155";"Warszawa";"Dzielnica Praga Północ";"7504050";"18";"5792000.00181818";"D209670";"21.059322";5397;"Acer pseudoplatanus";"klon jawor";"20110801"
"";"dobry";"52.261588";"Praga Północ";"ul. GRAJEWSKA";"Ulica GRAJEWSKA";"45";"8";"224";"Warszawa";"Dzielnica Praga Północ";"7504047";"18";"5792006.00181818";"D209671";"21.059278";5398;"Acer pseudoplatanus";"klon jawor";"20110801"
"";"średni";"52.261767";"Praga Północ";"ul. GRAJEWSKA";"Ulica GRAJEWSKA";"40";"6";"175";"Warszawa";"Dzielnica Praga Północ";"7504038";"18";"5792026.00181818";"D209672";"21.059146";5399;"Acer pseudoplatanus";"klon jawor";"20110801"
"";"średni";"52.26183";"Praga Północ";"ul. GRAJEWSKA";"Ulica GRAJEWSKA";"40";"6";"201";"Warszawa";"Dzielnica Praga Północ";"7504034";"18";"5792033.00181818";"D209673";"21.059088";5400;"Acer pseudoplatanus";"klon jawor";"20110801"
"";"dobry";"52.26175";"Praga Północ";"ul. ŁOMŻYŃSKA";"Ulica ŁOMŻYŃSKA";"15";"2";"28";"Warszawa";"Dzielnica Praga Północ";"7504015";"3,5";"5792024.00181818";"D209674";"21.058809";5401;"Picea pungens";"świerk kłujący";"20110801"
