"u_nazwa","u_stocznia","u_wrak","u_typ"
"German submarine U-32",,,
"German submarine U-287",,"Point(8.83333333 53.83333333)","Okręty podwodne typu VIIC"
"German submarine U-320",,"Point(1.88333333 61.53333333)","German Type VIIC/41 submarine"
"German submarine U-666","Deutsche Werft",,"Okręty podwodne typu VIIC"
"Seeteufel",,,
"German submarine U-226","Friedrich Krupp Germaniawerft","Point(-41.21666667 44.81666667)","Okręty podwodne typu VIIC"
"German submarine U-251",,,"Okręty podwodne typu VIIC"
"U-1105","Nordseewerke","Point(-76.552778 38.136111)","German Type VIIC/41 submarine"
"German submarine U-365","Flensburger Schiffbau-Gesellschaft",,"Okręty podwodne typu VIIC"
"U-464","Deutsche Werke","Point(-14.66666667 61.41666667)","Okręty podwodne typu XIV"
"German submarine U-97","Friedrich Krupp Germaniawerft","Point(34.0 33.0)","Okręty podwodne typu VIIC"
"German submarine U-442","Schichau-Werke","Point(-11.93333333 37.53333333)","Okręty podwodne typu VIIC"
"German submarine U-98","Friedrich Krupp Germaniawerft","Point(-7.7 36.15)","Okręty podwodne typu VIIC"
"German submarine U-563","Blohm + Voss","Point(-10.66666667 46.58333333)","Okręty podwodne typu VIIC"
"U-3519",,"Point(12.08333333 54.18333333)","Okręty podwodne typu XXI"
"German submarine U-434","Schichau-Werke","Point(-15.8 36.25)","Okręty podwodne typu VIIC"
"German submarine U-256","Bremer Vulkan",,"Okręty podwodne typu VIIC"
"German submarine U-105","Deutsche Schiff- und Maschinenbau",,"Okręty podwodne typu IXB"
"U-104","AG Weser","Point(-8.0 55.5)","Okręty podwodne typu IXB"
"U-80","Bremer Vulkan","Point(19.83333333 54.41666667)","Okręty podwodne typu VIIC"
"German submarine U-136","Bremer Vulkan","Point(-22.86666667 33.5)","Okręty podwodne typu VIIC"
"German submarine U-111","AG Weser","Point(-20.4 27.16666667)","Okręty podwodne typu IXB"
"German submarine U-122","AG Weser",,"Okręty podwodne typu IXB"
"German submarine U-373","Howaldtswerke-Deutsche Werft",,"Okręty podwodne typu VIIC"
"UC-5","AG Weser","Point(1.63333333 51.98333333)","okręty podwodne typu UC I"
"German submarine U-408",,,"Okręty podwodne typu VIIC"
"U-480",,"Point(-1.73611111 50.36777778)","Okręty podwodne typu VIIC"
"German submarine U-247",,"Point(-5.81666667 49.9)","Okręty podwodne typu VIIC"
"German submarine U-3505",,,
"U-146","Deutsche Werke",,
"German submarine U-396",,,"Okręty podwodne typu VIIC"
"U-147","Deutsche Werke",,
"German submarine U-489","Friedrich Krupp Germaniawerft","Point(-14.633333333 61.183333333)","Okręty podwodne typu XIV"
"German submarine U-593","Blohm + Voss","Point(5.96666667 37.63333333)","Okręty podwodne typu VIIC"
"German submarine U-627","Blohm + Voss","Point(-22.81666667 59.23333333)","Okręty podwodne typu VIIC"
"German submarine U-202","Friedrich Krupp Germaniawerft","Point(-39.86666667 56.2)","Okręty podwodne typu VIIC"
"German submarine U-795",,,
"German submarine U-551","Blohm + Voss","Point(-16.78333333 62.61666667)","Okręty podwodne typu VIIC"
"German submarine U-422",,,"Okręty podwodne typu VIIC"
"HMS Graph","Blohm + Voss","Point(-18.5833 62.25)","Okręty podwodne typu VIIC"
"U-121","Flender Werke",,
"German submarine U-488","Friedrich Krupp Germaniawerft","Point(-38.083333333 17.9)","Okręty podwodne typu XIV"
"U-152","Deutsche Werke",,
"German submarine U-355","Flensburger Schiffbau-Gesellschaft","Point(13.16666667 73.05)","Okręty podwodne typu VIIC"
"U-134","Bremer Vulkan","Point(-9.5 42.11666667)","Okręty podwodne typu VIIC"
"Niemiecki okręt podwodny U-108","Friedrich Krupp Germaniawerft","Point(1.51667 50.8833)","okręty podwodne typu  U 93"
"SM U-106","Friedrich Krupp Germaniawerft",,"okręty podwodne typu  U 93"
"German submarine U-263",,,"Okręty podwodne typu VIIC"
"German submarine U-400",,"Point(-5.08333333 50.665)","Okręty podwodne typu VIIC"
"German submarine U-325",,"Point(-5.206383 49.804717)","German Type VIIC/41 submarine"
"German submarine U-211","Friedrich Krupp Germaniawerft",,"Okręty podwodne typu VIIC"
"German submarine U-250",,,"Okręty podwodne typu VIIC"
"German submarine U-861",,"Point(-7.25 55.4167)",
"German submarine U-399",,,"Okręty podwodne typu VIIC"
"German submarine U-1021",,"Point(-5.19333333 50.555)","German Type VIIC/41 submarine"
"German submarine U-463","Deutsche Werke","Point(-11.666666666 45.95)","Okręty podwodne typu XIV"
"U-31",,,
"German submarine U-553","Blohm + Voss",,"Okręty podwodne typu VIIC"
"German submarine U-305","Flender Werke","Point(-18.0 49.0)","Okręty podwodne typu VIIC"
"German submarine U-270","Bremer Vulkan",,"Okręty podwodne typu VIIC"
"Okręty podwodne typu Delphin",,,
"German submarine U-264","Bremer Vulkan",,"Okręty podwodne typu VIIC"
"German submarine U-190","AG Weser","Point(-63.0 43.917)",
"German submarine U-338","Nordseewerke",,"Okręty podwodne typu VIIC"
"U-74","Bremer Vulkan","Point(0.16666667 37.53333333)","German Type VIIB submarine"
"U-853","AG Weser","Point(-71.45 41.217)",
"U-51","Friedrich Krupp Germaniawerft",,"German Type VIIB submarine"
"U-55","Friedrich Krupp Germaniawerft","Point(-7.8 48.61666667)","German Type VIIB submarine"
"U-90","Flender Werke","Point(4.81666667 75.06666667)","Okręty podwodne typu VIIC"
"U-84","Flender Werke","Point(-68.03 27.55)","German Type VIIB submarine"
"U-53","Friedrich Krupp Germaniawerft","Point(-6.233333 60.533333)","German Type VIIB submarine"
"U-54","Friedrich Krupp Germaniawerft","Point(6.75 54.95)","German Type VIIB submarine"
"U-76 (1940)","Bremer Vulkan","Point(-20.33333333 58.58333333)","German Type VIIB submarine"
"U-52","Friedrich Krupp Germaniawerft","Point(10.8333 54.1167)","German Type VIIB submarine"
"U-22","Friedrich Krupp Germaniawerft","Point(9.0 57.5)",
"U-977","Blohm + Voss",,"Okręty podwodne typu VIIC"
"U-977","Friedrich Krupp Germaniawerft",,"Okręty podwodne typu VIIC"
"U-131","AG Weser","Point(-13.58333333 34.2)",
"U-43","AG Weser",,"Okręty podwodne typu IXA"
"U-66","AG Weser","Point(-32.48333333 17.28333333)","Okręty podwodne typu IXC"
"German submarine U-195","AG Weser","Point(114.7 -6.83333)","Okręty podwodne typu IXD-1"
"German submarine U-123","AG Weser",,"Okręty podwodne typu IXB"
"German submarine U-126","AG Weser","Point(-45.33333333 52.5)",
"U-70","Friedrich Krupp Germaniawerft","Point(-14.0 60.25)","Okręty podwodne typu VIIC"
"U-219","Friedrich Krupp Germaniawerft","Point(104.90222222 -6.51666667)",
"U-138","Deutsche Werke",,
"U-41","AG Weser","Point(-10.06666667 49.33333333)","Okręty podwodne typu IXA"
"German submarine U-571","Blohm + Voss","Point(-14.45 52.683333333)","Okręty podwodne typu VIIC"
"U-33","Friedrich Krupp Germaniawerft","Point(-5.11666667 55.41666667)","typu VIIA"
"U-333","Nordseewerke",,"Okręty podwodne typu VIIC"
"U-85","Flender Werke","Point(-75.21666667 35.91666667)","German Type VIIB submarine"
"U-166","Seebeckwerft","Point(-90.75 28.6167)",
"German submarine U-201","Friedrich Krupp Germaniawerft","Point(-16.0 60.0)","Okręty podwodne typu VIIC"
"U-56","Deutsche Werke",,
"U-32","AG Weser","Point(-12.31666667 55.61666667)","typu VIIA"
"U-17","Friedrich Krupp Germaniawerft",,
"U-156","AG Weser","Point(-54.65 12.63333333)",
"U-125","AG Weser","Point(-45.33333333 52.5)",
"German submarine U-507","Deutsche Werft","Point(-39.867 1.633)",
"U-24",,"Point(28.68333333 44.2)",
"U-293",,,"German Type VIIC/41 submarine"
"U-27","AG Weser","Point(-9.033333333 58.583333333)","typu VIIA"
"SM UB-33","Blohm + Voss","Point(1.28333333 50.93333333)","Okręty podwodne typu UBII"
"U-1230",,,
"German submarine U-519","Deutsche Werft",,
"U-31","AG Weser",,"typu VIIA"
"U-10","Friedrich Krupp Germaniawerft",,
"U-773",,,
"SM U-75","Bremer Vulkan","Point(-3.4 59.11666667)","okręty podwodne typu UE I"
"U-26","AG Weser",,
"U-25","AG Weser","Point(5.11666667 54.23333333)",
"U-13","Deutsche Werke","Point(2.03333333 55.43333333)","Klasse IIB"
"U-16","Deutsche Werke","Point(1.46666667 51.15)","Klasse IIB"
"U-15","Deutsche Werke","Point(7.83333333 54.4)","Klasse IIB"
"U-39","AG Weser","Point(-11.81666667 58.53333333)","Okręty podwodne typu IXA"
"U-151","Deutsche Werke",,"German Type IID submarine"
"SM U-117","AG Vulcan Stettin",,"okręty podwodne typu UE II"
"U-63","Deutsche Werke","Point(-0.166667 58.6667)",
